SUPER DO POVO;-;177001;COALHADA INTEGRAL VALEMILK 140G;3,00%
SUPER DO POVO;-;154520;DOCE DE LEITE VALEMILK 350G;3,00%
SUPER DO POVO;-;154920;DOCE DE LEITE ZERO LACT VALEMILK 300G;3,00%
SUPER DO POVO;-;197201;GAR IOG TRIPLO ZERO AMEIXA VALEMILK 170G;3,00%
SUPER DO POVO;-;197241;GAR IOG TRIPLO ZERO AMEIXA VALEMILK 800G;3,00%
SUPER DO POVO;-;197001;GAR IOG TRIPLO ZERO MORANGO VALEMILK 170G;3,00%
SUPER DO POVO;-;197041;GAR IOG TRIPLO ZERO MORANGO VALEMILK 800G;3,00%
SUPER DO POVO;-;188225;GAR IOGURTE AMEIXA VALEMILK 170G;3,00%
SUPER DO POVO;-;188085;GAR IOGURTE MORANGO VALEMILK 1,25KG;3,00%
SUPER DO POVO;-;188025;GAR IOGURTE MORANGO VALEMILK 170G;3,00%
SUPER DO POVO;-;188065;GAR IOGURTE MORANGO VALEMILK 900G;3,00%
SUPER DO POVO;-;188185;GAR IOGURTE VITAMINA DE FRUTAS VALEMILK 1,25KG;3,00%
SUPER DO POVO;-;188125;GAR IOGURTE VITAMINA DE FRUTAS VALEMILK 170G;3,00%
SUPER DO POVO;-;188165;GAR IOGURTE VITAMINA DE FRUTAS VALEMILK 900G;3,00%
SUPER DO POVO;-;187301;IOGURTE BICAMADA MORANGO VALEMILK 130G;3,00%
SUPER DO POVO;-;187201;IOGURTE NATURAL DESNATADO VALEMILK 150G;3,00%
SUPER DO POVO;-;187001;IOGURTE NATURAL INTEGRAL VALEMILK 150G;3,00%
SUPER DO POVO;-;187401;IOGURTE NATURAL LAR/CEN/MEL VALEMILK 150G;3,00%
SUPER DO POVO;-;198081;IOGURTE WHEY BAUNILHA VALEMILK 170G;3,00%
SUPER DO POVO;-;198041;IOGURTE WHEY MORANGO VALEMILK 170G;3,00%
SUPER DO POVO;-;198001;IOGURTE WHEY TRADICIONAL VALEMILK 170G;3,00%
SUPER DO POVO;-;152515;MANTEIGA DA TERRA VALEMILK 190G;3,00%
SUPER DO POVO;-;152560;MANTEIGA GHEE VALEMILK 160G;3,00%
